n,k,t,duration
1000,1200,1,0.002961
1000,1200,2,0.003222
1000,1200,3,0.003258
1000,1200,4,0.003842
1000,1200,1,0.002899
1000,1200,2,0.003177
1000,1200,3,0.003245
1000,1200,4,0.003526
1000,1200,1,0.002975
1000,1200,2,0.003146
1000,1200,3,0.003191
1000,1200,4,0.003279
1000,1200,1,0.002964
1000,1200,2,0.003148
1000,1200,3,0.00319
1000,1200,4,0.003249
1000,1200,1,0.002961
1000,1200,2,0.003139
1000,1200,3,0.00318
1000,1200,4,0.003206
1000,1200,1,0.00294
1000,1200,2,0.00303
1000,1200,3,0.003224
1000,1200,4,0.003269
1000,1200,1,0.002952
1000,1200,2,0.003072
1000,1200,3,0.003174
1000,1200,4,0.003281
1000,1200,1,0.002947
1000,1200,2,0.003064
1000,1200,3,0.00319
1000,1200,4,0.003218
1000,1200,1,0.00297
1000,1200,2,0.003128
1000,1200,3,0.003225
1000,1200,4,0.003203
1000,1200,1,0.002952
1000,1200,2,0.003129
1000,1200,3,0.003248
1000,1200,4,0.003429
1000,1200,1,0.002976
1000,1200,2,0.003239
1000,1200,3,0.003174
1000,1200,4,0.003335
1000,1200,1,0.002948
1000,1200,2,0.003069
1000,1200,3,0.003205
1000,1200,4,0.003182
1000,1200,1,0.002892
1000,1200,2,0.003129
1000,1200,3,0.003209
1000,1200,4,0.003243
1000,1200,1,0.002965
1000,1200,2,0.003154
1000,1200,3,0.003164
1000,1200,4,0.003284
1000,1200,1,0.002963
1000,1200,2,0.00305
1000,1200,3,0.003153
1000,1200,4,0.003211
1000,1200,1,0.002955
1000,1200,2,0.00312
1000,1200,3,0.003413
1000,1200,4,0.003352
1000,1200,1,0.00298
1000,1200,2,0.003206
1000,1200,3,0.003305
1000,1200,4,0.003309
1000,1200,1,0.002963
1000,1200,2,0.003269
1000,1200,3,0.003247
1000,1200,4,0.003123
1000,1200,1,0.002971
1000,1200,2,0.003103
1000,1200,3,0.003249
1000,1200,4,0.003301
1000,1200,1,0.002972
1000,1200,2,0.003069
1000,1200,3,0.003072
1000,1200,4,0.003291
