n,k,t,duration
3000,50000,1,0.532043
3000,50000,2,0.520735
3000,50000,3,0.525059
3000,50000,4,0.530406
3000,50000,5,0.619524
3000,50000,6,0.758148
3000,50000,7,0.709182
3000,50000,8,0.727511
3000,50000,9,0.702371
3000,50000,10,0.730143
3000,50000,10,0.697379
3000,50000,10,0.711075
3000,50000,1,0.502273
3000,50000,2,0.523237
3000,50000,3,0.530494
3000,50000,4,0.526759
3000,50000,5,0.613893
3000,50000,6,0.786806
3000,50000,7,0.718059
3000,50000,8,0.723397
3000,50000,9,0.699947
3000,50000,10,0.717297
3000,50000,1,0.505894
3000,50000,2,0.521781
3000,50000,3,0.524997
3000,50000,4,0.52758
3000,50000,5,0.603718
3000,50000,6,0.672504
3000,50000,7,0.718597
3000,50000,8,0.724213
3000,50000,9,0.714917
3000,50000,10,0.733185
3000,50000,1,0.512076
3000,50000,2,0.522212
3000,50000,3,0.525119
3000,50000,4,0.528799
3000,50000,5,0.60709
3000,50000,6,0.67121
3000,50000,7,0.72184
3000,50000,8,0.733601
3000,50000,9,0.703123
3000,50000,10,0.742554
3000,50000,1,0.501596
3000,50000,2,0.524844
3000,50000,3,0.530906
3000,50000,4,0.526641
3000,50000,5,0.61194
3000,50000,6,0.67384
3000,50000,7,0.710732
3000,50000,8,0.735901
3000,50000,9,0.724415
3000,50000,10,0.706939
3000,50000,1,0.500295
3000,50000,2,0.52632
3000,50000,3,0.529712
3000,50000,4,0.529522
3000,50000,5,0.660367
3000,50000,6,0.685535
3000,50000,7,0.717969
3000,50000,8,0.742362
3000,50000,9,0.715812
3000,50000,10,0.728484
3000,50000,1,0.511919
3000,50000,2,0.558411
3000,50000,3,0.530786
3000,50000,4,0.522573
3000,50000,5,0.593574
3000,50000,6,0.65529
3000,50000,7,0.715623
3000,50000,8,0.735558
3000,50000,9,0.70885
3000,50000,10,0.693991
3000,50000,1,0.520069
3000,50000,2,0.518177
3000,50000,3,0.519012
3000,50000,4,0.519669
3000,50000,5,0.655203
3000,50000,6,0.688933
3000,50000,7,0.713779
3000,50000,8,0.728856
3000,50000,9,0.706958
3000,50000,10,0.706145
3000,50000,1,0.520149
3000,50000,2,0.527357
3000,50000,3,0.56369
3000,50000,4,0.576522
3000,50000,5,0.606106
3000,50000,6,0.663344
3000,50000,7,0.718541
3000,50000,8,0.721449
3000,50000,9,0.712042
3000,50000,10,0.695624
3000,50000,1,0.509315
3000,50000,2,0.519708
3000,50000,3,0.532793
3000,50000,4,0.535837
3000,50000,5,0.752596
3000,50000,6,0.684886
3000,50000,7,0.717734
3000,50000,8,0.723942
3000,50000,9,0.732262
3000,50000,10,0.698003
3000,50000,1,0.551425
3000,50000,2,0.528034
3000,50000,3,0.522236
3000,50000,4,0.574521
3000,50000,5,0.595637
3000,50000,6,0.658022
3000,50000,7,0.72384
3000,50000,8,0.731922
3000,50000,9,0.712241
3000,50000,10,0.712468
